Position: {X=1280, Y=720}, Time: 35.307 ms
Position: {X=1281, Y=714}, Time: 77.0713 ms
Position: {X=1281, Y=716}, Time: 122.38 ms
Position: {X=1282, Y=712}, Time: 169.8981 ms
Position: {X=1282, Y=715}, Time: 220.3021 ms
Position: {X=1284, Y=709}, Time: 258.2256 ms
Position: {X=1285, Y=706}, Time: 294.0379 ms
Position: {X=1288, Y=701}, Time: 339.4517 ms
Position: {X=1288, Y=697}, Time: 382.3734 ms
Position: {X=1292, Y=694}, Time: 415.2213 ms
Position: {X=1293, Y=690}, Time: 446.1739 ms
Position: {X=1290, Y=687}, Time: 480.6882 ms
Position: {X=1291, Y=682}, Time: 525.7987 ms
Position: {X=1290, Y=681}, Time: 556.8232 ms
Position: {X=1289, Y=680}, Time: 591.0895 ms
Position: {X=1287, Y=675}, Time: 632.905 ms
Position: {X=1285, Y=674}, Time: 663.4065 ms
Position: {X=1283, Y=671}, Time: 697.0281 ms
Position: {X=1282, Y=669}, Time: 727.0588 ms
Position: {X=1279, Y=668}, Time: 761.1636 ms
Position: {X=1277, Y=666}, Time: 791.4031 ms
Position: {X=1276, Y=663}, Time: 820.0733 ms
Position: {X=1274, Y=662}, Time: 850.3544 ms
Position: {X=1272, Y=660}, Time: 884.1523 ms
Position: {X=1270, Y=658}, Time: 913.7844 ms
Position: {X=1270, Y=657}, Time: 944.762 ms
Position: {X=1270, Y=656}, Time: 974.8163 ms
Position: {X=1267, Y=652}, Time: 1008.8591 ms
Position: {X=1268, Y=651}, Time: 1039.4152 ms
Position: {X=1267, Y=651}, Time: 1067.5035 ms
Position: {X=1268, Y=649}, Time: 1101.7269 ms
Position: {X=1269, Y=648}, Time: 1131.3932 ms
Position: {X=1271, Y=647}, Time: 1161.3298 ms
Position: {X=1271, Y=646}, Time: 1191.2811 ms
Position: {X=1272, Y=644}, Time: 1226.3108 ms
Position: {X=1272, Y=643}, Time: 1254.5817 ms
Position: {X=1274, Y=642}, Time: 1284.004 ms
Position: {X=1277, Y=641}, Time: 1316.2187 ms
Position: {X=1275, Y=640}, Time: 1349.6198 ms
Position: {X=1275, Y=638}, Time: 1379.4002 ms
Position: {X=1278, Y=638}, Time: 1410.506 ms
Position: {X=1278, Y=637}, Time: 1443.9417 ms
Position: {X=1278, Y=636}, Time: 1472.8469 ms
Position: {X=1279, Y=636}, Time: 1502.4102 ms
Position: {X=1278, Y=634}, Time: 1538.0353 ms
Position: {X=1276, Y=632}, Time: 1568.2536 ms
Position: {X=1275, Y=633}, Time: 1596.2083 ms
Position: {X=1275, Y=633}, Time: 1632.2258 ms
Position: {X=1273, Y=630}, Time: 1661.1298 ms
Position: {X=1274, Y=631}, Time: 1691.4677 ms
Position: {X=1274, Y=631}, Time: 1720.7434 ms
Position: {X=1272, Y=630}, Time: 1749.9475 ms
Position: {X=1272, Y=630}, Time: 1784.5271 ms
Position: {X=1272, Y=630}, Time: 1814.7168 ms
Position: {X=1269, Y=630}, Time: 1844.5596 ms
Position: {X=1270, Y=630}, Time: 1878.3797 ms
Position: {X=1269, Y=630}, Time: 1908.5285 ms
Position: {X=1267, Y=627}, Time: 1939.0041 ms
Position: {X=1266, Y=630}, Time: 1972.6738 ms
Position: {X=1265, Y=626}, Time: 2002.0562 ms
Position: {X=1267, Y=626}, Time: 2034.9469 ms
Position: {X=1267, Y=626}, Time: 2067.0258 ms
Position: {X=1268, Y=625}, Time: 2096.9021 ms
Position: {X=1270, Y=624}, Time: 2126.467 ms
Position: {X=1269, Y=625}, Time: 2157.8887 ms
Position: {X=1270, Y=626}, Time: 2192.5804 ms
Position: {X=1271, Y=625}, Time: 2241.2365 ms

